ITEM: TIMESTEP
0
ITEM: NUMBER OF CELLS
400
ITEM: BOX BOUNDS pp pp pp
0 1
0 1
-0.5 0.5
ITEM: CELLS xc yc c_1[1] c_1[2] c_1[3] c_2[1] 
0.625 0.875 5.18675e+20 -31.2615 -31.0109 273.33 
0.825 0.875 5.18701e+20 21.5184 -38.4864 276.537 
0.625 0.925 5.18688e+20 -20.1305 -39.0744 272.194 
0.825 0.925 5.18675e+20 12.3454 -48.9843 272.019 
0.625 0.975 5.1874e+20 -5.62271 -43.5284 269.555 
0.825 0.975 5.18701e+20 5.99104 -53.2487 270.647 
0.675 0.525 5.18701e+20 -4.59911 55.8598 270.374 
0.875 0.525 5.18675e+20 5.92838 45.583 269.74 
0.675 0.575 5.18701e+20 -14.8402 48.1243 273.892 
0.875 0.575 5.18688e+20 21.4643 39.7831 270.528 
0.675 0.625 5.18688e+20 -20.9895 39.3154 276.432 
0.875 0.625 5.18701e+20 29.7476 32.2864 270.663 
0.675 0.675 5.18675e+20 -23.7547 23.7748 277.234 
0.875 0.675 5.18662e+20 38.679 19.0703 275.032 
0.675 0.725 5.18701e+20 -26.6248 7.00852 279.036 
0.875 0.725 5.18688e+20 42.6043 6.36945 278.309 
0.675 0.775 5.18675e+20 -26.8606 -9.13803 279.138 
0.875 0.775 5.18688e+20 43.4156 -6.82286 276.575 
0.675 0.825 5.18688e+20 -24.5427 -24.3661 281.296 
0.875 0.825 5.18688e+20 37.2525 -21.476 273.789 
0.675 0.875 5.18701e+20 -21.2309 -40.1118 275.294 
0.875 0.875 5.18675e+20 32.6403 -31.2036 273.455 
0.675 0.925 5.18688e+20 -14.945 -47.0428 271.383 
0.875 0.925 5.18688e+20 19.7684 -37.3156 271.112 
0.675 0.975 5.18688e+20 -5.62949 -54.0837 269.259 
0.875 0.975 5.18688e+20 6.18009 -42.1499 268.952 
0.525 0.525 5.18688e+20 -10.583 8.77191 264.276 
0.725 0.525 5.18662e+20 -1.73295 61.6733 273.136 
0.925 0.525 5.18662e+20 9.62148 26.0146 264.186 
0.525 0.575 5.18701e+20 -28.4332 8.02889 264.388 
0.725 0.575 5.18675e+20 -4.96458 54.4315 275.723 
0.925 0.575 5.18688e+20 23.8367 24.8152 267.913 
0.525 0.625 5.18688e+20 -44.0099 7.39703 267.467 
0.725 0.625 5.18701e+20 -6.71296 42.8869 276.281 
0.925 0.625 5.18688e+20 37.6886 18.8292 270.058 
0.525 0.675 5.18701e+20 -53.5088 2.6383 270.754 
0.725 0.675 5.18688e+20 -13.1376 27.5139 279.088 
0.925 0.675 5.18701e+20 49.6548 14.1413 272.588 
0.525 0.725 5.18675e+20 -59.2866 3.90129 274.293 
0.725 0.725 5.18662e+20 -8.23169 10.5182 283.633 
0.925 0.725 5.18688e+20 54.316 3.54472 273.442 
0.525 0.775 5.18675e+20 -59.3866 -0.871972 273.033 
0.725 0.775 5.18701e+20 -7.91743 -10.9679 280.214 
