TITLE = "cavity_20000"
VARIABLES = "X", "Y", "nrho", "U", "V","Temperature"
ZONE T="cavity", I=72, J=72, K=1, F=POINT
-1.5052e-05,-1.4096e-05,2.6911e+25,-0.070688,0.10039,272.13
-1.5052e-05,-1.3618e-05,2.6899e+25,-0.14563,0.11222,272.23
-1.5052e-05,-1.314e-05,2.6905e+25,-0.18829,0.19325,272.15
-1.5052e-05,-1.2663e-05,2.6898e+25,-0.1893,0.2384,272.19
-1.5052e-05,-1.2185e-05,2.6915e+25,-0.084211,0.26951,272.04
-1.5052e-05,-1.1707e-05,2.6929e+25,-0.10519,0.40587,271.91
-1.5052e-05,-1.1229e-05,2.6924e+25,-0.19382,0.47449,271.98
-1.5052e-05,-1.0751e-05,2.692e+25,-0.21785,0.45659,271.96
-1.5052e-05,-1.0273e-05,2.6927e+25,-0.16343,0.49261,272
-1.5052e-05,-9.7956e-06,2.6916e+25,-0.18094,0.60199,272.03
-1.5052e-05,-9.3178e-06,2.6908e+25,-0.15872,0.70419,272.12
-1.5052e-05,-8.8399e-06,2.6905e+25,-0.19841,0.77761,272.1
-1.5052e-05,-8.3621e-06,2.6909e+25,-0.24966,0.81742,272.12
-1.5052e-05,-7.8842e-06,2.69e+25,-0.2507,0.90337,272.12
-1.5052e-05,-7.4064e-06,2.6915e+25,-0.24544,1.0372,272.04
-1.5052e-05,-6.9286e-06,2.6915e+25,-0.2098,1.2229,272.01
-1.5052e-05,-6.4508e-06,2.692e+25,-0.29451,1.3167,271.95
-1.5052e-05,-5.9729e-06,2.6916e+25,-0.34917,1.441,272
-1.5052e-05,-5.4951e-06,2.6909e+25,-0.29766,1.5678,272.11
-1.5052e-05,-5.0173e-06,2.6908e+25,-0.34738,1.6827,272.12
-1.5052e-05,-4.5394e-06,2.6906e+25,-0.42515,1.7543,272.14
-1.5052e-05,-4.0616e-06,2.692e+25,-0.44267,1.9038,272.04
-1.5052e-05,-3.5838e-06,2.6917e+25,-0.42279,2.0649,272.02
-1.5052e-05,-3.1059e-06,2.6924e+25,-0.39363,2.2067,272
-1.5052e-05,-2.6281e-06,2.6916e+25,-0.35375,2.3678,272.06
-1.5052e-05,-2.1502e-06,2.6905e+25,-0.33998,2.4778,272.12
-1.5052e-05,-1.6724e-06,2.6894e+25,-0.24087,2.5709,272.16
-1.5052e-05,-1.1946e-06,2.6897e+25,-0.20642,2.7281,272.15
-1.5052e-05,-7.1675e-07,2.6909e+25,-0.24092,2.9126,272.06
-1.5052e-05,-2.3892e-07,2.6894e+25,-0.3386,3.0979,271.95
-1.5052e-05,2.3892e-07,2.6884e+25,-0.4175,3.1857,272.01
-1.5052e-05,7.1675e-07,2.6901e+25,-0.48692,3.3274,272.01
-1.5052e-05,1.1946e-06,2.6909e+25,-0.37049,3.4764,271.99
-1.5052e-05,1.6724e-06,2.6906e+25,-0.28555,3.5903,271.96
